Sentences_Chinese,Sentence_Cantonese,label,emo_class
由於博協的性質，我們成功地協助創辦雜誌，編纂“科技前沿”，主辦國際會議。,由於博協嘅性質，我哋成功地協助創辦雜誌，編纂“科技前沿”，主辦國際會議。,0,Happy
由於時間關係，就不一一列舉了，只簡單地介紹博協的近況。,由於時間關係，就唔一一列舉了，只簡單地介紹博協嘅近況。,4,Neutral
２００７年８月１０日－８月１３日，全日本在中國人博士協會，吉林省科協，吉林省留學人員聯誼會聯合舉辦了海外博士服務吉林活動。,2007年8月10日-8月13日，日本曬喺中國人博士協會，吉林省科協，吉林省留學人員聯誼會聯合舉辦了海外博士服務吉林活動。,4,Neutral
２００７年８月１１日博協長春分會宣告成立。,2007年8月11日博協長春分會宣告成立。,4,Neutral
２００７年８月１２日博協與吉林省科協簽署合作協定，同時與長春大學，東北電力大學簽署了友好交流協定。,2007年8月12日博協與吉林省科協簽署合作協定，同時與長春大學，東北電力大學簽署了友好交流協定。,4,Neutral
此時此刻，博協李會長，趙常務副會長，任副會長，張副會長等正帶領著代表團在張家港國貿賓館舉行項目對接及簽約儀式。,此時此刻，博協李會長，趙常務副會長，任副會長，張副會長等正帶領住代表團喺張家港國貿賓館舉行項目對接及簽約儀式。,4,Neutral
我本人是從百名博士江蘇行活動途中趕來出席今天這個座談會的。,我本人系由百名博士江蘇行活動途中趕來出席今日呢個座談會嘅。,4,Neutral
在這裡，我懷著多年難得的激動來描述百名留日博士江蘇行的情景：,喺呢度，我懷著多年難得嘅激動嚟描述百名留日博士江蘇行嘅情景：,0,Happy
“修學、遊藝、敦誼、勵行”的辦會宗旨經得起風霜雪雨洗禮。,“修學、遊藝、敦誼、勵行”的辦會宗旨經得起風霜雪雨洗禮。,0,Happy
當前，知識化、資訊化浪潮如疾風驟雨般地改變著人類的生活、生存方式。,當前，知識化、資訊化浪潮如疾風驟雨般地改變住人類嘅生活、生存方式。,0,Happy
人類有史以來第一次面對這樣的現實，那就是你可以在任何時間，任何地點與你所希望交流的人進行通訊。,人類有史以來第一次面對噉嘅現實，就系你可以喺任何時間，任何地點與你所希望交流嘅人進行通訊。,0,Happy
有事去市區，坐公車。,有事去市區，坐巴士。,4,Neutral
路程不長，可發生了一系列事情，呵呵，連續劇哦￣￣,路程唔長，可發生一系列事情，呵呵，連續劇哦 ̄ ̄,0,Happy
車剛開了一站路，上來很多人，其中有一個中年男子，手裡拿張十元紙幣，要司機找錢，可是司機說不能找的，要他下車換零錢。,車啱啱開咗一站路，上嚟好多人，其中有一個中年男子，手度攞張十元紙幣，要司機找續，但司機話唔可以搵嘅，要佢落車換散紙。,4,Neutral
”我找出個硬幣投進了投幣箱。,我找出個硬幣投入咗投幣箱。,4,Neutral
他連聲道謝，我淡淡一笑，坐回我的位置。,他連聲道謝，我淡淡一笑，坐回我的位置。,0,Happy
也許，人家會在心裡想“這個人腦子又問題，白白扔了一元錢”，也許有人在想“這個人心眼倒是挺好的”，也許有人會想“哼，這個人臭顯擺，出風頭唄”，可是可是，呵呵，不管人家怎麼想，我不就少了一元錢嗎？,他連聲道謝，我淡淡一笑，坐回我的位置。,0,Happy
呵呵，沒有了，我其實根本就不知道別人在想什麼，也許別人什麼都沒有想！,呵呵，冇咗，我其實根本就唔知人哋諗緊乜嘢，或者人哋乜都冇諗！,0,Happy
但我知道那個中年人很感激我，就事這麼簡單！,但我知嗰個中年人好感激我，就事咁簡單！,0,Happy
車繼續行駛，下一站又到站了，上來一位身懷六甲的孕婦，我讓坐的老太趕緊站起來，讓孕婦坐下來，呵呵，感動，我，還有孕婦，或者還有更多人都被感動著！,但我知嗰個中年人好感激我，就事咁簡單！,0,Happy
那位沒有零錢的中年人站起來讓座了！,嗰位冇散紙嘅中年人企起身讓座了！,0,Happy
終於有一位帥哥站起來讓剛上車的一個老大爺坐下了！,卒之有一位靚仔企起身畀啱啱上車嘅一個老大爺坐低咗！,0,Happy
呵呵，我笑了！,呵呵，我笑了！,0,Happy
這才是我最開心的時候！,才是我最開心嘅時候！,0,Happy
車還在繼續行駛著，可是司機的語氣明顯熱情緩和了，車裡的年輕人站起來的多了，那個中年人臨下車還不忘對我再次說聲謝謝。,車仲喺繼續行駛住，但司機嘅語氣明顯熱情緩和了，車入面嘅年輕人企起身嘅多咗，嗰個中年人臨落車未忘對我再次講聲多謝。,0,Happy
呵呵，其實，每個人都只是付出那麼一點點的熱情和關愛，這個小小的車廂就變得溫馨了起來。,呵呵，其實，個個都只系付出咁少少嘅熱情同關愛，呢個小小嘅車廂就變得溫馨咗起身。,0,Happy
呵呵，　　短短的快樂之旅！,呵呵，短短嘅快樂之旅！,0,Happy
在希臘神話裡大力神赫拉克勒斯出於義憤解救了被宙斯困於高加索山上忍受鷹啄劇痛的普羅米修士。,喺希臘神話度大力神赫拉克勒斯出於義憤解救了被宙斯困於高加索山上忍受鷹啄劇痛嘅普羅米修士。,1,Sad
普羅米修士火種註定點燃１３億中國人民內心的激情，奧林匹克思想將會得到最深刻最廣泛的弘揚。,普羅米修士火種註定點燃13億中國人民內心嘅激情，奧林匹克思想將會得到最深刻最廣泛嘅弘揚。,0,Happy
對人家的生命，對自己的生命，都未放在心上啊。,對人哋嘅生命，對自己的生命，都未放在心上啊。,1,Sad
”哈，有知音啊！,“哈，有知音啊！,0,Happy
去年深圳市搞了個評選“十大消費陋習”活動，其中一條即是“明知別人要開車還勸酒”。,去年深圳市搞了個評選“十大消費陋習”活動，其中一條即是“明知別人要開車還勸酒”。,4,Neutral
秦新民明確說，語言性節目仍會占到三分之一，“歷年春晚都是以語言類節目、歌舞、戲曲、魔術為主角，今年我們在考慮有沒有可能引入其他的表現形式。,秦新民明確說，語言性節目仍會占到三分一，“歷年春晚都是以語言類節目、歌舞、戲曲、魔術為主角，今年我們在考慮有沒有可能引入其他的表現形式。,4,Neutral
”（１１月２３日山西晚報）,”（１１月２３日山西晚報）,4,Neutral
看到秦新民的策劃創意，我感到很失望，因為秦新民很有可能把即將過去的２００８年完全當成極其普通的一年看待了。,睇到秦新民嘅策劃創意，我感到好失望，因為秦新民好有可能將即將過去嘅2008年完全當成普通到極嘅一年看待了。,1,Sad
誰也不能否認，在２００８年，我們經歷的太多，對此我們不能回避、不能漠視；每一個人都必須承認，２００８年，我們承受的太多，所以我們需要思考、需要紀念。,邊個都唔可以否認，在2008年，我哋經歷嘅太多，對此我哋唔可以回避、不能漠視; 每一個人都必須承認，2008年，我哋承受嘅太多，所以我哋需要思考、需要紀念。,1,Sad
我們不能忘記奧運成功舉辦的喜悅，但我們更不能忘記汶川地震中的悲痛；我們固然需要新年的喜慶，可不要忘了還有很多人在承受金融風暴的寒冬。,我哋唔可以忘記奧運成功舉辦嘅喜悅，但我哋更不能忘記汶川地震中嘅悲痛; 我哋固然需要新年嘅喜慶，可唔好不記得仲有好多人喺承受金融風暴嘅寒冬。,1,Sad
大紅大綠大紫大黃的色彩還是去掉一些吧，因為２００８有太多的哀傷，我們不能在無數家庭的傷口還在滴血的時候狂歡。,大紅大綠大紫大黃嘅色彩都系去掉一些吧，因為2008有多的哀傷，我哋唔可以喺無數家庭嘅傷口仲喺滴血嘅時候狂歡。,1,Sad
有一點淡淡的哀傷、飄著些許淚花的春晚會讓更多人記住、會符合更多人的意願。,有一啲淡淡的哀傷、飄住些少淚芲嘅春晚會令更多人記住、會符合更多人嘅意願。,1,Sad
佳士得公司近日宣佈，明年２月在法國巴黎舉行的“伊夫·聖羅蘭與皮埃爾·貝傑珍藏”專場拍賣會上，將首次出現兩位藝術家所收藏的鼠首和兔首的身影。,佳士得公司近日宣佈，出年2月法國巴黎舉行緊嘅維伊夫·聖羅蘭與皮埃爾·貝傑珍藏采專場拍賣會上，將首次出現兩位藝術家所收藏的鼠首同兔首嘅身影。,4,Neutral
根據佳士得公司現在的市場估價，鼠首和兔首總價可能會被拍賣到高達２億元人民幣。,根據佳士得公司而家嘅市場估價，鼠首同兔首總價可能會被拍賣到高達2億蚊人仔。,2,Surprise
　（１０月２７日國際先驅導報）,　（10月27日國際先驅導報）,4,Neutral
２億，這個數字已經無異於掠奪了。,2億，呢個數位已經同掠奪無分別。,3,Anger
我想，這２億天價的圓明園獸首銅像我們不要也罷。,我想，2億天價嘅圓明園獸首銅像我哋不要也罷。,3,Anger
包括獸首銅像在內的很多文物本來就是我們家裡的，只不過被幾個強盜搶走了，現在又要我們花大價錢來買，這於情於理都是無法說得過去的。,包括獸首銅像在內嘅好多文物本來就系我哋屋企嘅，只不過畀幾個強盜搶走咗，而家又要我哋花大價錢嚟買，於情於理都系無法說得過去嘅。,3,Anger
現在，既然有人借中國人的這種心理囤積居奇、哄抬物價，那我們何必明知是圈套還要往裡邁呢？,現時，既然有人借中國人嘅呢種心理囤積居奇、哄抬物價，我哋使乜明知系圈套仲要往裡邁呢？,3,Anger
這殘缺的歷史會告訴每一個中國人：我們本來是完整的，現在卻被人為的隔離。,殘缺嘅歷史會告訴每一個中國人：我哋本來系完整嘅，而家卻被人為嘅隔離。,1,Sad
所以，２億天價的圓明園獸首銅像我們不要也罷！,所以，2億天價嘅圓明園獸首銅像我哋不要也罷！,3,Anger
在此期間，使用者對電腦的正常使用不會受到其它影響”。,在此期間，使用者對電腦嘅正常使用唔會受到其它影響“。,4,Neutral
對此，我有些許聯想。,對此，我有些許聯想。,4,Neutral
我們不敢肯定中國的政府部門是不是都安裝了微軟的系統，但可以確定的是，肯定有相當一部分甚至是絕大部分政府部門的電腦安裝了微軟系統。,我哋唔敢肯定中國嘅政府部門系咪都安裝咗微軟嘅系統，但可以肯定嘅系，肯定有相當一部分甚至系絕大部分政府部門嘅電腦安裝了微軟系統。,4,Neutral
更為微妙的是，微軟的正版驗證只針對了專業版ＸＰ，並沒有針對ＨＯＭＥＸＰ即家庭版ＸＰ，而專業版ＸＰ則基本是政府部門採用的版本。,更為微妙嘅系，微軟嘅正版驗證針對得專業版XP，並無針對HOMEXP即家庭版XP，而專業版XP則基本系政府部門採用嘅版本。,2,Surprise
由於中國政府有政府採購電腦必須預裝正版系統的規定，所以那些安裝了專業版ＸＰ的政府電腦基本上是正版，因為是正版，所以基本上所有的政府ＸＰ系統都會很放心的打開系統的“自動更新”、參加微軟的正版驗證計畫。,更為微妙嘅系，微軟嘅正版驗證針對得專業版XP，並無針對HOMEXP即家庭版XP，而專業版XP則基本系政府部門採用嘅版本。,0,Happy
當然，以上只是我的假設，不一定正確，可當初聯想在某國的遭遇卻讓我記憶猶新。,當然，以上只系我嘅假設，唔一定正確，可當初聯想喺某國嘅遭遇卻令我記憶猶新。,1,Sad
中新網布拉格１０月２日電：１日發生教學樓樓梯坍塌事故、造成５名學生死亡的俄羅斯奧倫堡州中學的女副校長自殺身亡。,中新網布拉格10月2日電（記者李亞） 1日發生教學樓樓梯坍塌事故、造成5名學生死亡嘅俄羅斯奧倫堡州中學嘅女副校長自殺身亡。,1,Sad
媒體猜測她自責沒能足夠快地把孩子們帶到安全位置。,媒體猜測她自責冇足夠快地將仔們帶到安全位置得。,1,Sad
據俄羅斯《生意人報》報導，“教學樓更換窗戶時外牆出現裂縫後，施工者立即報告了自殺身亡的副校長。,據俄羅斯《生意人報》報導，“教學樓更換窗戶時外牆出現裂縫後，施工者立即報告了自殺身亡的副校長。,1,Sad
但是她沒有當機立斷馬上疏散學生而是坐等安全專家的決定，因此喪失了寶貴的時間”。,但系佢冇當機立斷即刻疏散學生而是坐等安全專家嘅決定，因此喪失咗寶貴嘅時間“。,1,Sad
如果這位副校長真的是因為“自責自己沒能足夠快地把孩子們帶到安全位置”而自殺的話，那我們每一個中國人都應該向這位自殺的副校長致敬。,如果呢位副校長真系因為逕自責自己冇足夠快地將仔們帶到安全位置得而自殺嘅話，我哋每一個中國人都應該向呢位自殺嘅副校長致敬。,1,Sad
據報導說“出事時這座已有５０年歷史的教學樓正在修理”。,據報導話“出事時這座已有50年歷史嘅教學樓修理緊”。,1,Sad
“媒體猜測她自責沒能足夠快地把孩子們帶到安全位置”，但是，這種自責應該屬於工作策略上的失誤，雖說肯定有罪可在法理上是罪不當死的。,“媒體猜測她自責沒能足夠快地把孩子們帶到安全位置”，但是，這種自責應該屬於工作策略上的失誤，雖說肯定有罪可在法理上是罪不當死的。,1,Sad
那她為何要自責而死呢？,那她為何要自責而死呢？,1,Sad
我想，也許是良心的譴責讓她無法再面對活下來的學生；我想，也許是職業的責任讓她無顏再走進新建的教學樓：所以，她才隨她的學生離去，並將此做為她的懺悔吧！,我想，或者系良心嘅譴責畀佢無法再面對活落嚟嘅學生; 我想，或者系職業嘅責任畀佢無顏再走進新建嘅教學樓：所以，佢先隨她的學生離去，並將此做為她的懺悔啦！,1,Sad
死者已逝，我不想再說別的，讓我們向這位與“豆腐渣”無關、沒有為自己找理由推脫、沒有找人庇護、也沒有辭職的中學副校長致敬！,死者已逝，我唔想再講其他，令我哋向呢位與“豆腐渣”無關、冇為自己搵理由推脫、冇搵人庇護、都冇辭職嘅中學副校長致敬！,1,Sad
最近，上海市教育委員會設立“餘秋雨大師工作室”並舉行掛牌儀式，“餘秋雨有沒有資格稱大師”又成為文化圈內一大焦點話題。,最近，上海市教育委員會設立“餘秋雨大師工作室”並舉行掛牌儀式，“餘秋雨有沒有資格稱大師”又成為文化圈內一大焦點話題。,4,Neutral
（９月２３日南方日報）,（9月23日《南方日報》）,4,Neutral
看著最近關於他的爭論，我頗不以為然，感覺很沒有必要。,睇住最近關於佢嘅爭論，我頗不以為然，感覺好冇必要。,3,Anger
大師這個早就不再神聖的稱呼似乎已經沒有太值得珍惜的價值了，誠如餘秋雨所言：這個年頭連街頭算命的都呼為大師，因此沒必要對“大師　”這個有氾濫傾向的頭銜如此敏感。,睇住最近關於佢嘅爭論，我頗不以為然，感覺好冇必要。,3,Anger
如果農民認為王國維不是大師，那我們好像也沒有必要對其口誅筆伐。,如果農民認為王國維唔系名師，我哋好似都冇必要對其口誅筆伐。,3,Anger
同理，既然上海市教育委員會認為餘秋雨是大師，那隨他去就好了，他們認可是他們那個範圍的事，我們不認可的話就不理他們好了。,同理，既然上海市教育委員會認為餘秋雨系名師，隨佢去就定，佢哋認可系佢哋嗰個範圍嘅事，我哋唔認可嘅話就唔洗理佢哋。,3,Anger
這和你認為臭豆腐是美食他認為臭豆腐是垃圾一個道理。,和你認為臭豆腐系美食佢認為臭豆腐系垃圾一個道理。,4,Neutral
研究周易的可以是周易大師、川菜做得好的可以是川菜大師，連蛐蛐玩的好的都可以叫大師，那餘秋雨為何不能叫大師呢？,研究周易嘅可以系周易大師、川菜做得好嘅可以系川菜大師，連狎玩嘅好嘅都可以叫大師，餘秋雨為何不能叫大師呢？,3,Anger
遍地都是大師和沒有大師實際上是一個道理的，呵呵。,遍地都系大師同冇大師實際上系一個道理嘅，呵呵。,0,Happy
連餘秋雨都將自己的大師頭銜當笑話，旁人又何必呢？,連餘秋雨都將自己嘅大師銜頭當笑話，旁人又使乜呢？,3,Anger
我們確實沒有必要對餘秋雨的大師稱呼太敏感。,我哋確實冇必要對餘秋雨嘅大師稱呼太敏感。,3,Anger
因不堪忍受老師長期的指責，山西晉城市某中學學生——１４歲的李文（化名），懷揣暑期打工賺來的１２０元錢離家出走。,因不堪忍受老師長期的指責，山西晉城市某中學學生——14歲的李文（化名），懷揣暑期打工賺來的120元錢離家出走。,1,Sad
８月２０日，身陷傳銷窩點１月之久的李文被警方成功解救，安全回家。,8月20日，身陷傳銷窩點1月之耐嘅李文被警方成功解救，安全回家。,0,Happy
公平地講，教師並非生來毫無公平之心，天職和責任不會允許他們對差生置之不理。,公平地講，教師並非生來毫無公平之心，天職和責任唔會允許佢哋對差生置之不理。,3,Anger
但是，學校和相關部門的成績評比強迫教師必須對差生“另眼相看”。,但是，學校和相關部門的成績評比強迫教師必須對差生“另眼相看”。,3,Anger
評優評先需要成績，晉級加薪需要成績，於是學生的成績成了工具，而差生就成了成績面前的祭禮。,評優評需要成績先，晉級加薪需要成績，於是學生嘅成績成了工具，而差生就成了成績面前嘅祭禮。,1,Sad
對此，筆者以為，我們與其咒駡教師的“居心不良”，不如去譴責一下學校以及相關部門的考核制度。,對此，筆者以為，我哋與其咒駡教師嘅戇居心不良桎梏，不如去譴責嚇學校以及相關部門嘅考核制度。,3,Anger
難道非得逼著老師對差生“另眼相看”，再讓學生仇視教師、教育和社會嗎？,難道非得逼著老師對差生“另眼相看”，再讓學生仇視教師、教育和社會嗎？,3,Anger
因天災而不能回家團圓的人們是不幸的。,因天災而不能回家團圓嘅啲人系不幸嘅。,1,Sad
２００８年那揪心的春運場景仍在眼前。,2008年肉緊嘅春運場景仍在眼前。,1,Sad
中國南方５０年一遇的冰災徹底打亂了春運計畫。,中國南方50年一遇嘅冰災徹底打亂了春運計畫。,1,Sad
京廣線——春運的大動脈出現了問題，飛機停航，鐵路、公路全部停運。,京廣線——春運嘅大動脈出現了問題，飛機停航，鐵路、公路全部停運。,1,Sad
１月２７　日，京珠高速公路長沙至湘潭段冰凍災害嚴重，大批車輛滯留，最多時滯留車輛超過２萬輛，滯留人員超過６萬。,1月27日，京珠高速公路長沙至湘潭段冰凍災害嚴重，大批車輛滯留，最多時滯留車輛超過2萬輛，滯留人員超過6萬。,1,Sad
１月２７日，大量省際公共汽車因為暴雪滯留在合肥汽車站。,1月27日，大量省際巴士因為暴雪滯留喺合肥汽車站。,1,Sad
由於當時地方政府未對雪災將會引起的嚴重後果具有足夠清醒的認識，以致出現瞞報誤報現象，更談不上及時出臺積極有效的應對措施，以致損失慘重。,由於當時地方政府未對雪災將會引起的嚴重後果具有足夠清醒的認識，以致出現瞞報誤報現象，更談不上及時出臺積極有效的應對措施，以致損失慘重。,1,Sad
２００８年的那場冰災才能在一定程度上轉化為我們的財富，而不再僅僅是一場純粹的災難。,2008年嘅場冰災先可以喺一定程度上轉化為我哋嘅財富，而唔再淨系系一場純粹嘅災難。,1,Sad
午飯過後，我帶孩子們去樓下散步。,午飯過後，我帶仔們去樓下散步。,4,Neutral
可是，孩子畢竟是孩子，一會兒工夫他們就把我的規定拋到了腦後了，有幾個孩子還是在開心地追逐嬉戲！,可是，仔話曬系仔，一陣工夫佢哋就將我嘅規定拋到了腦後咗，有幾個仔都系喺開心地追逐嬉戲！,3,Anger
我馬上制止他們，並且讓他們站在一棵桃樹下不許亂跑來作為懲罰。,我即刻制止佢哋，並且畀佢哋企喺樖桃樹下唔准亂跑嚟作為懲罰。,3,Anger
可是，依然有孩子繼續他們的遊戲！,可是，依然有孩子繼續他們的遊戲！,3,Anger
再說不就是那麼一點大的草坪嗎，能有什麼危險？,先講唔就系咁啲大嘅草坪咩，可唔可以有咩危險？,0,Happy
這樣一說，孩子們可來勁了！,這樣一說，小朋友們可來勁了！,0,Happy
說實話，早已忘記了該怎麼去評定他們誰是那個最什麼什麼的了，呵呵，開心就好！,講真，早已忘記了應該點去評定佢哋邊個系嗰個最乜嘢乜嘢嘅了，呵呵，開心就好！,0,Happy
等到時間差不多了，該午睡了，孩子們還真有點意猶未盡呢，不過，他們還是告訴我說今天是他們玩得最開心的一天！,等到時間差唔多了，該午睡了，小朋友們仲真系有啲意猶未盡呢，之，佢哋都系話畀我話今日系佢哋玩得最開心嘅一日！,0,Happy
婷婷甚至在我臉上親了一下才肯躺下．．．．．,婷婷甚至在我臉上親了一下才肯躺下.....,0,Happy
”“因為我們今天不乖很吵，你也沒有發火呀。,“”因為我哋今日唔乖好嘈，你都冇發火呀。,0,Happy
”“是呀，今天你們叫我媽媽了，我當然很開心呀，以後呀，老師再不發火了，天天好心情，好嗎？,“”系呀，今日你哋叫我媽媽咗，我梗系好開心呀，以後呀，老師再唔發火了，日日好心情，好不好？,0,Happy
”“好啊好啊，我們就天天叫你媽媽！,好呀好呀，我哋就日日叫媽！,0,Happy
我常常告訴自己不能這樣，但有時很難控制自己；過後我常常後悔愧疚於我的失態、我的缺乏自控力！,我常常告訴自己不能這樣，但有時很難控制自己; 過後我成日後悔愧疚於我嘅失態、我嘅缺乏自控力！,1,Sad
而今天我的內心充滿了憂傷，可我表現得很平靜，還能和孩子們一起嬉戲歡笑，我想我能控制自己了！,而今天我的內心充滿了憂傷，可我表現得很平靜，還能和孩子們一起嬉戲歡笑，我想我能控制自己了！,0,Happy
９月１日，新學期開始了。,9月1日，新學期開始了。,4,Neutral
在替兒子整理書包時，我突然想起了汶川地震中去了另一個世界的孩子們：在天國，他們也該開學了吧！,幫個仔整理緊書包時，我突然想起汶川地震中去咗另一個世界嘅仔們：在天國，佢哋都該開學埋啦！,1,Sad
於是我很想對著天空問一句：從汶川去往天國的孩子，你們開學了嗎？,於是我很想對著天空問一句：從汶川去往天國嘅仔，你哋開學呀？,1,Sad
如果沒有５月１２日那場整個人類的災難，９月１日的早晨你們也會幸福的走在通往學校的路上，但今天，你們只能在另外一個世界去漫長的等待了。,如果冇5月12日場成個人類嘅災難，9月1日嘅早你哋都會幸福嘅走通往學校緊嘅路上，但今日，你哋只能喺另外一個世界去漫長嘅等待了。,1,Sad
希望你們不會孤單，因為有無數人在替你們祈禱、因為譚千秋校長帶著瞿萬容等老師會與你們為伴。,希望你哋唔會孤單，因為有無數人喺幫你哋祈禱、因為譚千秋校長監瞿萬容等老師會與你哋為伴。,1,Sad
雖然我們很多人明知這只是一種奢望，可我們只能選擇這種幸福而痛苦的奢望。,雖然我哋好多人明知只系一種奢望，可我哋只能選擇呢種幸福而痛苦奢望。,1,Sad
中國的大地上正在進行“開學第一課”的教育，可惜，你們已經不需要了，但我知道，你們肯定在向上蒼祈求人間不要再發生同樣的悲劇。,中國嘅大地上進行緊唻開學第一課旮旯嘅教育，可惜，你哋有不需要，但我知道，你哋肯定喺向上蒼祈求人間唔好再發生同樣嘅悲劇。,1,Sad
以前我是不相信有天國的，但現在我相信肯定有天國：天國就在每一個善良的人的心裡。,以前我系唔信有天國嘅，但而家我相信肯定有天國：天國就喺每一個善良嘅人嘅心。,1,Sad
只是我們不知道天國分不分年級和學期，只是我們不清楚天國有沒有四季。,只系我哋唔知天國分唔分年級同學期，只系我哋唔清楚天國有冇四季。,1,Sad
如果天國也有學期，那９月１日也應該是你們開學的日子；如果天國也有四季，那我告訴你們：我們這裡已經快到了秋季。,如果天國都有學期，9月1日都應該系你哋開學嘅日子; 如果天國也有四季，我話畀你哋：我哋呢度有快到秋季。,1,Sad
為汶川祈禱之餘，我想問：從汶川去往天國的孩子，你們開學了嗎？,為汶川祈禱之餘，我想問：從汶川去往天國嘅仔，你哋開學呀？,1,Sad
明年這一天，我還會問這一句。,出年呢一日，我仲會問呢一句。,4,Neutral
近幾天，　災區很多學校複課了。,近幾日，災區好多學校複課了。,1,Sad
’這是導致他選擇坐在窗戶邊上的原因。,噉呢系導致佢揀坐喺窗邊 上嘅原因 。,4,Neutral
他很慶倖自己的教室是在一樓。,佢好慶倖自己嘅教室系喺一樓。,0,Happy
汶川地震是一場可怕的噩夢，是一場必將纏繞在地震親歷者心中數十年揮之不去的噩夢。,汶川地震系一場可怕嘅噩夢，系一場必將纏繞喺地震親歷者心中數十年揮之不去嘅噩夢。,1,Sad
所以，在筆者看來，與其早日複課不如讓災後“重生”的學生接受一下系統、有效的心理治療，哪怕放棄今年高考，也要最大限度的減小災難對他們造成的傷害。,所以，在筆者看來，與其早日複課不如畀災後為重生為嘅學生接受嚇系統、有效的心理治療，哪怕放棄今年高考，都要最大限度嘅減小災難對佢哋造成嘅傷害。,1,Sad
汶川地震發生後，四川綿竹市遵道鎮歡歡幼稚園發生整體垮塌，此次地震共造成５０多名小孩和３名老師死亡。,汶川地震發生之後，四川綿竹市遵道鎮歡歡幼稚園發生整體垮塌，此次地震共造成50多名小孩和3名老師死亡。,1,Sad
瞿萬容老師為保護孩子壯烈犧牲。,瞿萬容老師為保護孩子壯烈犧牲。,1,Sad
幼稚園園長李娟回憶起瞿萬容老師被救援隊發現的情形，泣不成聲：“當時瞿老師撲在地上，用後背牢牢地擋住了垮塌的水泥板，懷裡還緊緊抱著一名小孩。,幼稚園園長李娟憶起瞿萬容老師被救援隊發現的情形，泣不成聲：“當時瞿老師撲在地上，用背脊牢牢地擋住了垮塌的水泥板，懷裡還緊緊抱著一名小孩。,1,Sad
